"icd","icddesc","icdvers","hcc","rxhcc","inhcc","inrxhcc","year"
"24961","Sec DM neuro uncontrld",9,16,14,"Yes","Yes",2011
"24970","Sec DM circ nt st uncntr",9,15,14,"Yes","Yes",2011
"24971","Sec DM circ uncontrld",9,15,14,"Yes","Yes",2011
"24980","Sec DM oth nt st uncontr",9,16,14,"Yes","Yes",2011
"24981","Sec DM other uncontrld",9,16,14,"Yes","Yes",2011
"24990","Sec DM unsp nt st uncon",9,18,14,"Yes","Yes",2011
"24991","Sec DM unsp uncontrold",9,18,14,"Yes","Yes",2011
"25000","DMII wo cmp nt st uncntr",9,19,15,"Yes","Yes",2011
"25001","DMI wo cmp nt st uncntrl",9,19,15,"Yes","Yes",2011
"25002","DMII wo cmp uncntrld",9,19,15,"Yes","Yes",2011
"25003","DMI wo cmp uncntrld",9,19,15,"Yes","Yes",2011
"25010","DMII keto nt st uncntrld",9,17,14,"Yes","Yes",2011
"25011","DMI keto nt st uncntrld",9,17,14,"Yes","Yes",2011
"25012","DMII ketoacd uncontrold",9,17,14,"Yes","Yes",2011
"25013","DMI ketoacd uncontrold",9,17,14,"Yes","Yes",2011
"25020","DMII hprsm nt st uncntrl",9,17,14,"Yes","Yes",2011
"25021","DMI hprsm nt st uncntrld",9,17,14,"Yes","Yes",2011
"25022","DMII hprosmlr uncontrold",9,17,14,"Yes","Yes",2011
"25023","DMI hprosmlr uncontrold",9,17,14,"Yes","Yes",2011
"25030","DMII o cm nt st uncntrld",9,17,14,"Yes","Yes",2011
"25031","DMI o cm nt st uncntrld",9,17,14,"Yes","Yes",2011
"25032","DMII oth coma uncontrold",9,17,14,"Yes","Yes",2011
"25033","DMI oth coma uncontrold",9,17,14,"Yes","Yes",2011
"25040","DMII renl nt st uncntrld",9,15,14,"Yes","Yes",2011
"25041","DMI renl nt st uncntrld",9,15,14,"Yes","Yes",2011
"25042","DMII renal uncntrld",9,15,14,"Yes","Yes",2011
"25043","DMI renal uncntrld",9,15,14,"Yes","Yes",2011
"25050","DMII ophth nt st uncntrl",9,18,14,"Yes","Yes",2011
"25051","DMI ophth nt st uncntrld",9,18,14,"Yes","Yes",2011
"25052","DMII ophth uncntrld",9,18,14,"Yes","Yes",2011
"25053","DMI ophth uncntrld",9,18,14,"Yes","Yes",2011
"25060","DMII neuro nt st uncntrl",9,16,14,"Yes","Yes",2011
"25061","DMI neuro nt st uncntrld",9,16,14,"Yes","Yes",2011
"25062","DMII neuro uncntrld",9,16,14,"Yes","Yes",2011
"25063","DMI neuro uncntrld",9,16,14,"Yes","Yes",2011
"25070","DMII circ nt st uncntrld",9,15,14,"Yes","Yes",2011
"25071","DMI circ nt st uncntrld",9,15,14,"Yes","Yes",2011
"25072","DMII circ uncntrld",9,15,14,"Yes","Yes",2011
"25073","DMI circ uncntrld",9,15,14,"Yes","Yes",2011
"25080","DMII oth nt st uncntrld",9,16,14,"Yes","Yes",2011
"25081","DMI oth nt st uncntrld",9,16,14,"Yes","Yes",2011
"25082","DMII oth uncntrld",9,16,14,"Yes","Yes",2011
"25083","DMI oth uncntrld",9,16,14,"Yes","Yes",2011
"25090","DMII unspf nt st uncntrl",9,18,14,"Yes","Yes",2011
"25091","DMI unspf nt st uncntrld",9,18,14,"Yes","Yes",2011
"25092","DMII unspf uncntrld",9,18,14,"Yes","Yes",2011
"25093","DMI unspf uncntrld",9,18,14,"Yes","Yes",2011
"2514","Abn secretion glucagon",9,32,31,"Yes","Yes",2011
"2515","Abnorm secretion gastrin",9,32,31,"Yes","Yes",2011
"2518","Pancreatic disorder NEC",9,32,31,"Yes","Yes",2011
"2519","Pancreatic disorder NOS",9,32,31,"Yes","Yes",2011
"25200","Hyperparathyroidism NOS",9,,19,"No","Yes",2011
"25201","Primary hyperparathyroid",9,,19,"No","Yes",2011
"25202","Sec hyprprthyrd nonrenal",9,,19,"No","Yes",2011
"25208","Hyperparathyroidism NEC",9,,19,"No","Yes",2011
"2521","Hypoparathyroidism",9,,19,"No","Yes",2011
"2528","Parathyroid disorder NEC",9,,19,"No","Yes",2011
"2529","Parathyroid disorder NOS",9,,19,"No","Yes",2011
"2530","Acromegaly and gigantism",9,,18,"No","Yes",2011
"2531","Ant pituit hyperfunc NEC",9,,18,"No","Yes",2011
"2532","Panhypopituitarism",9,,18,"No","Yes",2011
"2533","Pituitary dwarfism",9,,18,"No","Yes",2011
"2534","Anter pituitary dis NEC",9,,18,"No","Yes",2011
"2535","Diabetes insipidus",9,,18,"No","Yes",2011
"2536","Neurohypophysis dis NEC",9,,19,"No","Yes",2011
"2537","Iatrogenic pituitary dis",9,,19,"No","Yes",2011
"2538","Pituitary disorder NEC",9,,19,"No","Yes",2011
"2539","Pituitary disorder NOS",9,,19,"No","Yes",2011
"2540","Persist hyperplas thymus",9,,19,"No","Yes",2011
"2541","Abscess of thymus",9,,19,"No","Yes",2011
"2548","Diseases of thymus NEC",9,,19,"No","Yes",2011
"2549","Disease of thymus NOS",9,,19,"No","Yes",2011
"2550","Cushing's syndrome",9,,19,"No","Yes",2011
"25510","Hyperaldosteronism NOS",9,,19,"No","Yes",2011
"25511","Glucrtcod-rem aldsternsm",9,,19,"No","Yes",2011
"25512","Conn's syndrome",9,,19,"No","Yes",2011
"25513","Bartter's syndrome",9,,19,"No","Yes",2011
"25514","Secondry aldosternsm NEC",9,,19,"No","Yes",2011
"2552","Adrenogenital disorders",9,,19,"No","Yes",2011
"2553","Corticoadren overact NEC",9,,19,"No","Yes",2011
"25541","Glucocorticoid deficient",9,,19,"No","Yes",2011
"25542","Mineralcorticoid defcnt",9,,19,"No","Yes",2011
"2555","Adrenal hypofunction NEC",9,,19,"No","Yes",2011
"2556","Medulloadrenal hyperfunc",9,,19,"No","Yes",2011
"2558","Adrenal disorder NEC",9,,19,"No","Yes",2011
"2559","Adrenal disorder NOS",9,,19,"No","Yes",2011
"25801","Mult endo neoplas type I",9,,19,"No","Yes",2011
"25802","Mult endo neop type IIA",9,,19,"No","Yes",2011
"25803","Mult endo neop type IIB",9,,19,"No","Yes",2011
"2581","Comb endocr dysfunct NEC",9,,19,"No","Yes",2011
"2588","Polyglandul dysfunc NEC",9,,19,"No","Yes",2011
"2589","Polyglandul dysfunc NOS",9,,19,"No","Yes",2011
"2592","Carcinoid syndrome",9,10,11,"Yes","Yes",2011
"260","Kwashiorkor",9,21,,"Yes","No",2011
"261","Nutritional marasmus",9,21,,"Yes","No",2011
"262","Oth severe malnutrition",9,21,,"Yes","No",2011
"2630","Malnutrition mod degree",9,21,,"Yes","No",2011
"2631","Malnutrition mild degree",9,21,,"Yes","No",2011
"2632","Arrest devel d/t malnutr",9,21,,"Yes","No",2011
"2638","Protein-cal malnutr NEC",9,21,,"Yes","No",2011
"2639","Protein-cal malnutr NOS",9,21,,"Yes","No",2011
"2680","Rickets, active",9,,45,"No","Yes",2011
"2682","Osteomalacia NOS",9,,45,"No","Yes",2011
"2700","Amino-acid transport dis",9,,19,"No","Yes",2011
"2701","Phenylketonuria - pku",9,,19,"No","Yes",2011
"2702","Arom amin-acid metab NEC",9,,19,"No","Yes",2011
"2703","Bran-chain amin-acid dis",9,,19,"No","Yes",2011
"2704","Sulph amino-acid met dis",9,,19,"No","Yes",2011
"2705","Dis histidine metabolism",9,,19,"No","Yes",2011
"2706","Dis urea cycle metabol",9,,19,"No","Yes",2011
"2707","Straig amin-acid met NEC",9,,19,"No","Yes",2011
"2708","Dis amino-acid metab NEC",9,,19,"No","Yes",2011
"2709","Dis amino-acid metab NOS",9,,19,"No","Yes",2011
"2710","Glycogenosis",9,,18,"No","Yes",2011
"2711","Galactosemia",9,,19,"No","Yes",2011
"2714","Renal glycosuria",9,,19,"No","Yes",2011
"2718","Dis carbohydr metab NEC",9,,19,"No","Yes",2011
"2719","Dis carbohydr metab NOS",9,,19,"No","Yes",2011
"2720","Pure hypercholesterolem",9,,23,"No","Yes",2011
"2721","Pure hyperglyceridemia",9,,23,"No","Yes",2011
"2722","Mixed hyperlipidemia",9,,23,"No","Yes",2011
"2723","Hyperchylomicronemia",9,,23,"No","Yes",2011
"2724","Hyperlipidemia NEC/NOS",9,,23,"No","Yes",2011
"2725","Lipoprotein deficiencies",9,,23,"No","Yes",2011
"2728","Lipoid metabol dis NEC",9,,23,"No","Yes",2011
"2729","Lipoid metabol dis NOS",9,,23,"No","Yes",2011
"2734","Alpha-1-antitrypsin def",9,,18,"No","Yes",2011
"2750","Dis iron metabolism",9,,19,"No","Yes",2011
"27501","Heredit hemochromatosis",9,,19,"No","Yes",2011
"27503","Hemochromatosis NEC",9,,19,"No","Yes",2011
"27509","Disord iron metablsm NEC",9,,19,"No","Yes",2011
"2751","Dis copper metabolism",9,,19,"No","Yes",2011
"2753","Dis phosphorus metabol",9,,19,"No","Yes",2011
"27700","Cystic fibros w/o ileus",9,107,103,"Yes","Yes",2011
"27701","Cystic fibrosis w ileus",9,107,103,"Yes","Yes",2011
"27702","Cystic fibros w pul man",9,107,103,"Yes","Yes",2011
"27703","Cystic fibrosis w GI man",9,107,103,"Yes","Yes",2011
"27709","Cystic fibrosis NEC",9,107,103,"Yes","Yes",2011
"2771","Dis porphyrin metabolism",9,,19,"No","Yes",2011
"2772","Purine/pyrimid dis NEC",9,,19,"No","Yes",2011
"2775","Mucopolysaccharidosis",9,,18,"No","Yes",2011
"2776","Defic circul enzyme NEC",9,,18,"No","Yes",2011
"27781","Primary carnitine defncy",9,,19,"No","Yes",2011
"27782","Crnitne def d/t nb met",9,,19,"No","Yes",2011
"27783","Iatrogenic carnitine def",9,,19,"No","Yes",2011
"27784","Sec carnitine defncy NEC",9,,19,"No","Yes",2011
"27785","Disorders acid oxidation",9,,19,"No","Yes",2011
"27786","Peroxisomal disorders",9,,19,"No","Yes",2011
"27787","Dis mitochondrial metab",9,,19,"No","Yes",2011
"27789","Metabolism disorder NEC",9,,19,"No","Yes",2011
"27801","Morbid obesity",9,,21,"No","Yes",2011
"27803","Obesity hypovent synd",9,,21,"No","Yes",2011
"27900","Hypogammaglobulinem NOS",9,45,49,"Yes","Yes",2011
"27901","Selective iga immunodef",9,45,49,"Yes","Yes",2011
"27902","Selective IgM immunodef",9,45,49,"Yes","Yes",2011
"27903","Selective ig defic NEC",9,45,49,"Yes","Yes",2011
"27904","Cong hypogammaglobulinem",9,45,49,"Yes","Yes",2011
"27905","Immunodefic w hyper-igm",9,45,49,"Yes","Yes",2011
"27906","Common variabl immunodef",9,45,49,"Yes","Yes",2011
"27909","Humoral immunity def NEC",9,45,49,"Yes","Yes",2011
"27910","Immundef t-cell def NOS",9,45,49,"Yes","Yes",2011
"27911","Digeorge's syndrome",9,45,49,"Yes","Yes",2011
"27912","Wiskott-aldrich syndrome",9,45,49,"Yes","Yes",2011
"27913","Nezelof's syndrome",9,45,49,"Yes","Yes",2011
"27919","Defic cell immunity NOS",9,45,49,"Yes","Yes",2011
"2792","Combined immunity defic",9,45,49,"Yes","Yes",2011
"2793","Immunity deficiency NOS",9,45,49,"Yes","Yes",2011
"27941","Autoimmun lymphprof synd",9,45,49,"Yes","Yes",2011
"27949","Autoimmune disease NEC",9,45,49,"Yes","Yes",2011
"27950","Graft-versus-host NOS",9,45,49,"Yes","Yes",2011
"27951","Ac graft-versus-host dis",9,45,49,"Yes","Yes",2011
"27952","Chronc graft-vs-host dis",9,45,49,"Yes","Yes",2011
"27953","Ac on chrn grft-vs-host",9,45,49,"Yes","Yes",2011
"2798","Immune mechanism dis NEC",9,45,49,"Yes","Yes",2011
"2799","Immune mechanism dis NOS",9,45,49,"Yes","Yes",2011
"28241","Thlasema Hb-S w/o crisis",9,44,50,"Yes","Yes",2011
"28242","Thlassemia Hb-S w crisis",9,44,50,"Yes","Yes",2011
"28260","Sickle cell disease NOS",9,44,50,"Yes","Yes",2011
"28261","Hb-SS disease w/o crisis",9,44,47,"Yes","Yes",2011
"28262","Hb-SS disease w crisis",9,44,47,"Yes","Yes",2011
"28263","Hb-SS/hb-C dis w/o crsis",9,44,50,"Yes","Yes",2011
"28264","Hb-S/Hb-C dis w crisis",9,44,50,"Yes","Yes",2011
"28268","Hb-S dis w/o crisis NEC",9,44,50,"Yes","Yes",2011
"28269","Hb-SS dis NEC w crisis",9,44,50,"Yes","Yes",2011
"2830","Autoimmun hemolytic anem",9,44,50,"Yes","Yes",2011
"28310","Nonauto hem anemia NOS",9,44,50,"Yes","Yes",2011
"28311","Hemolytic uremic synd",9,44,50,"Yes","Yes",2011
"28319","Oth nonauto hem anemia",9,44,50,"Yes","Yes",2011
"2832","Hemolytic hemoglobinuria",9,44,50,"Yes","Yes",2011
"2839","Acq hemolytic anemia NOS",9,44,50,"Yes","Yes",2011
"28401","Constitution RBC aplasia",9,44,50,"Yes","Yes",2011
"28409","Const aplastc anemia NEC",9,44,50,"Yes","Yes",2011
"2841","Pancytopenia",9,44,50,"Yes","Yes",2011
"2842","Myelophthisis",9,44,50,"Yes","Yes",2011
"28481","Red cell aplasia",9,44,50,"Yes","Yes",2011
"28489","Aplastic anemias NEC",9,44,50,"Yes","Yes",2011
"2849","Aplastic anemia NOS",9,44,50,"Yes","Yes",2011
"2850","Sideroblastic anemia",9,,50,"No","Yes",2011
"2860","Cong factor viii diord",9,44,50,"Yes","Yes",2011
"2861","Cong factor IX disorder",9,44,50,"Yes","Yes",2011
"28800","Neutropenia NOS",9,45,,"Yes","No",2011
"28801","Congenital neutropenia",9,45,,"Yes","No",2011
"28802","Cyclic neutropenia",9,45,,"Yes","No",2011
"28803","Drug induced neutropenia",9,45,,"Yes","No",2011
"28804","Neutropenia d/t infectn",9,45,,"Yes","No",2011
"28809","Neutropenia NEC",9,45,,"Yes","No",2011
"2881","Function dis neutrophils",9,45,,"Yes","No",2011
"2882","Genetic anomaly leukocyt",9,45,,"Yes","No",2011
"2884","Hemophagocytic syndromes",9,45,,"Yes","No",2011
"28952","Splenic sequestration",9,44,50,"Yes","Yes",2011
"28981","Prim hypercoagulable st",9,,50,"No","Yes",2011
"28982","Sec hypercoagulable st",9,,50,"No","Yes",2011
"28983","Myelofibrosis",9,,9,"No","Yes",2011
"2900","Senile dementia uncomp",9,,55,"No","Yes",2011
"29010","Presenile dementia",9,,55,"No","Yes",2011
"29011","Presenile delirium",9,,55,"No","Yes",2011
"29012","Presenile delusion",9,,55,"No","Yes",2011
"29013","Presenile depression",9,,55,"No","Yes",2011
"29020","Senile delusion",9,,55,"No","Yes",2011
"29021","Senile depressive",9,,55,"No","Yes",2011
"2903","Senile delirium",9,,55,"No","Yes",2011
"29040","Vascular dementia,uncomp",9,,55,"No","Yes",2011
"29041","Vasc dementia w delirium",9,,55,"No","Yes",2011
"29042","Vasc dementia w delusion",9,,55,"No","Yes",2011
"29043","Vasc dementia w depressn",9,,55,"No","Yes",2011
"2908","Senile psychosis NEC",9,,55,"No","Yes",2011
"2909","Senile psychot cond NOS",9,,55,"No","Yes",2011
"2910","Delirium tremens",9,51,,"Yes","No",2011
"2911","Alcohol amnestic disordr",9,51,,"Yes","No",2011
"2912","Alcohol persist dementia",9,51,,"Yes","No",2011
"2913","Alcoh psy dis w hallucin",9,51,,"Yes","No",2011
"2914","Pathologic alcohol intox",9,51,,"Yes","No",2011
"2915","Alcoh psych dis w delus",9,51,,"Yes","No",2011
"29181","Alcohol withdrawal",9,51,,"Yes","No",2011
"29182","Alcoh induce sleep disor",9,51,,"Yes","No",2011
"29189","Alcohol mental disor NEC",9,51,,"Yes","No",2011
"2919","Alcohol mental disor NOS",9,51,,"Yes","No",2011
"2920","Drug withdrawal",9,51,,"Yes","No",2011
"29211","Drug psych disor w delus",9,51,,"Yes","No",2011
"29212","Drug psy dis w hallucin",9,51,,"Yes","No",2011
"2922","Pathologic drug intox",9,51,,"Yes","No",2011
"29281","Drug-induced delirium",9,51,,"Yes","No",2011
"29282","Drug persisting dementia",9,51,,"Yes","No",2011
"29283","Drug persist amnestc dis",9,51,,"Yes","No",2011
"29284","Drug-induced mood disord",9,51,,"Yes","No",2011
"29285","Drug induced sleep disor",9,51,,"Yes","No",2011
"29289","Drug mental disorder NEC",9,51,,"Yes","No",2011
"2929","Drug mental disorder NOS",9,51,,"Yes","No",2011
"2940","Amnestic disord oth dis",9,,55,"No","Yes",2011
"29410","Dementia w/o behav dist",9,,55,"No","Yes",2011
"29411","Dementia w behavior dist",9,,55,"No","Yes",2011
"2948","Mental disor NEC oth dis",9,,55,"No","Yes",2011
"2949","Mental disor NOS oth dis",9,,55,"No","Yes",2011
"29500","Simpl schizophren-unspec",9,54,58,"Yes","Yes",2011
"29501","Simpl schizophren-subchr",9,54,58,"Yes","Yes",2011
"29502","Simple schizophren-chr",9,54,58,"Yes","Yes",2011
"29503","Simp schiz-subchr/exacer",9,54,58,"Yes","Yes",2011
"29504","Simpl schizo-chr/exacerb",9,54,58,"Yes","Yes",2011
"29505","Simpl schizophren-remiss",9,54,58,"Yes","Yes",2011
"29510","Hebephrenia-unspec",9,54,58,"Yes","Yes",2011
"29511","Hebephrenia-subchronic",9,54,58,"Yes","Yes",2011
"29512","Hebephrenia-chronic",9,54,58,"Yes","Yes",2011
"29513","Hebephren-subchr/exacerb",9,54,58,"Yes","Yes",2011
"29514","Hebephrenia-chr/exacerb",9,54,58,"Yes","Yes",2011
"29515","Hebephrenia-remission",9,54,58,"Yes","Yes",2011
"29520","Catatonia-unspec",9,54,58,"Yes","Yes",2011
"29521","Catatonia-subchronic",9,54,58,"Yes","Yes",2011
"29522","Catatonia-chronic",9,54,58,"Yes","Yes",2011
"29523","Catatonia-subchr/exacerb",9,54,58,"Yes","Yes",2011
"29524","Catatonia-chr/exacerb",9,54,58,"Yes","Yes",2011
"29525","Catatonia-remission",9,54,58,"Yes","Yes",2011
"29530","Paranoid schizo-unspec",9,54,58,"Yes","Yes",2011
"29531","Paranoid schizo-subchr",9,54,58,"Yes","Yes",2011
"29532","Paranoid schizo-chronic",9,54,58,"Yes","Yes",2011
"29533","Paran schizo-subchr/exac",9,54,58,"Yes","Yes",2011
"29534","Paran schizo-chr/exacerb",9,54,58,"Yes","Yes",2011
"29535","Paranoid schizo-remiss",9,54,58,"Yes","Yes",2011
"29540","Schizophreniform dis NOS",9,54,58,"Yes","Yes",2011
"29541","Schizophrenic dis-subchr",9,54,58,"Yes","Yes",2011
"29542","Schizophren dis-chronic",9,54,58,"Yes","Yes",2011
"29543","Schizo dis-subchr/exacer",9,54,58,"Yes","Yes",2011
"29544","Schizophr dis-chr/exacer",9,54,58,"Yes","Yes",2011
"29545","Schizophrenic dis-remiss",9,54,58,"Yes","Yes",2011
"29550","Latent schizophren-unsp",9,54,58,"Yes","Yes",2011
"29551","Lat schizophren-subchr",9,54,58,"Yes","Yes",2011
"29552","Latent schizophren-chr",9,54,58,"Yes","Yes",2011
"29553","Lat schizo-subchr/exacer",9,54,58,"Yes","Yes",2011
"29554","Latent schizo-chr/exacer",9,54,58,"Yes","Yes",2011
"29555","Lat schizophren-remiss",9,54,58,"Yes","Yes",2011
"29560","Schizophr dis resid NOS",9,54,58,"Yes","Yes",2011
"29561","Schizoph dis resid-subch",9,54,58,"Yes","Yes",2011
"29562","Schizophr dis resid-chr",9,54,58,"Yes","Yes",2011
"29563","Schizo resid subchr/exac",9,54,58,"Yes","Yes",2011
"29564","Schizoph resid-chro/exac",9,54,58,"Yes","Yes",2011
"29565","Schizoph dis resid-remis",9,54,58,"Yes","Yes",2011
"29570","Schizoaffective dis NOS",9,54,58,"Yes","Yes",2011
"29571","Schizoaffectv dis-subchr",9,54,58,"Yes","Yes",2011
"29572","Schizoaffective dis-chr",9,54,58,"Yes","Yes",2011
"29573","Schizoaff dis-subch/exac",9,54,58,"Yes","Yes",2011
"29574","Schizoafftv dis-chr/exac",9,54,58,"Yes","Yes",2011
"29575","Schizoaffectve dis-remis",9,54,58,"Yes","Yes",2011
"29580","Schizophrenia NEC-unspec",9,54,58,"Yes","Yes",2011
"29581","Schizophrenia NEC-subchr",9,54,58,"Yes","Yes",2011
"29582","Schizophrenia NEC-chr",9,54,58,"Yes","Yes",2011
"29583","Schizo NEC-subchr/exacer",9,54,58,"Yes","Yes",2011
"29584","Schizo NEC-chr/exacerb",9,54,58,"Yes","Yes",2011
"29585","Schizophrenia NEC-remiss",9,54,58,"Yes","Yes",2011
"29590","Schizophrenia NOS-unspec",9,54,58,"Yes","Yes",2011
"29591","Schizophrenia NOS-subchr",9,54,58,"Yes","Yes",2011
"29592","Schizophrenia NOS-chr",9,54,58,"Yes","Yes",2011
"29593","Schizo NOS-subchr/exacer",9,54,58,"Yes","Yes",2011
"29594","Schizo NOS-chr/exacerb",9,54,58,"Yes","Yes",2011
"29595","Schizophrenia NOS-remiss",9,54,58,"Yes","Yes",2011
"29600","Bipol I single manic NOS",9,55,59,"Yes","Yes",2011
"29601","Bipol I single manc-mild",9,55,59,"Yes","Yes",2011
"29602","Bipol I single manic-mod",9,55,59,"Yes","Yes",2011
"29603","Bipol I sing-sev w/o psy",9,55,59,"Yes","Yes",2011
"29604","Bipo I sin man-sev w psy",9,55,59,"Yes","Yes",2011
"29605","Bipol I sing man rem NOS",9,55,59,"Yes","Yes",2011
"29606","Bipol I single manic rem",9,55,59,"Yes","Yes",2011
"29610","Recur manic dis-unspec",9,55,59,"Yes","Yes",2011
"29611","Recur manic dis-mild",9,55,59,"Yes","Yes",2011
"29612","Recur manic dis-mod",9,55,59,"Yes","Yes",2011
"29613","Recur manic dis-severe",9,55,59,"Yes","Yes",2011
"29614","Recur manic-sev w psycho",9,55,59,"Yes","Yes",2011
"29615","Recur manic-part remiss",9,55,59,"Yes","Yes",2011
"29616","Recur manic-full remiss",9,55,59,"Yes","Yes",2011
"29620","Depress psychosis-unspec",9,55,60,"Yes","Yes",2011
"29621","Depress psychosis-mild",9,55,60,"Yes","Yes",2011
"29622","Depressive psychosis-mod",9,55,60,"Yes","Yes",2011
"29623","Depress psychosis-severe",9,55,60,"Yes","Yes",2011
"29624","Depr psychos-sev w psych",9,55,60,"Yes","Yes",2011
"29625","Depr psychos-part remiss",9,55,60,"Yes","Yes",2011
"29626","Depr psychos-full remiss",9,55,60,"Yes","Yes",2011
"29630","Recurr depr psychos-unsp",9,55,60,"Yes","Yes",2011
"29631","Recurr depr psychos-mild",9,55,60,"Yes","Yes",2011
"29632","Recurr depr psychos-mod",9,55,60,"Yes","Yes",2011
"29633","Recur depr psych-severe",9,55,60,"Yes","Yes",2011
"29634","Rec depr psych-psychotic",9,55,60,"Yes","Yes",2011
"29635","Recur depr psyc-part rem",9,55,60,"Yes","Yes",2011
"29636","Recur depr psyc-full rem",9,55,60,"Yes","Yes",2011
"29640","Bipol I currnt manic NOS",9,55,59,"Yes","Yes",2011
"29641","Bipol I curnt manic-mild",9,55,59,"Yes","Yes",2011
"29642","Bipol I currnt manic-mod",9,55,59,"Yes","Yes",2011
"29643","Bipol I manc-sev w/o psy",9,55,59,"Yes","Yes",2011
"29644","Bipol I manic-sev w psy",9,55,59,"Yes","Yes",2011
"29645","Bipol I cur man part rem",9,55,59,"Yes","Yes",2011
"29646","Bipol I cur man full rem",9,55,59,"Yes","Yes",2011
"29650","Bipol I cur depres NOS",9,55,59,"Yes","Yes",2011
"29651","Bipol I cur depress-mild",9,55,59,"Yes","Yes",2011
"29652","Bipol I cur depress-mod",9,55,59,"Yes","Yes",2011
"29653","Bipol I curr dep w/o psy",9,55,59,"Yes","Yes",2011
"29654","Bipol I currnt dep w psy",9,55,59,"Yes","Yes",2011
"29655","Bipol I cur dep rem NOS",9,55,59,"Yes","Yes",2011
"29656","Bipol I currnt dep remis",9,55,59,"Yes","Yes",2011
"29660","Bipol I currnt mixed NOS",9,55,59,"Yes","Yes",2011
"29661","Bipol I currnt mix-mild",9,55,59,"Yes","Yes",2011
"29662","Bipol I currnt mixed-mod",9,55,59,"Yes","Yes",2011
"29663","Bipol I cur mix w/o psy",9,55,59,"Yes","Yes",2011
"29664","Bipol I cur mixed w psy",9,55,59,"Yes","Yes",2011
"29665","Bipol I cur mix-part rem",9,55,59,"Yes","Yes",2011
"29666","Bipol I cur mixed remiss",9,55,59,"Yes","Yes",2011
"2967","Bipolor I current NOS",9,55,59,"Yes","Yes",2011
"29680","Bipolar disorder NOS",9,55,59,"Yes","Yes",2011
"29681","Atypical manic disorder",9,55,59,"Yes","Yes",2011
"29682","Atypical depressive dis",9,55,59,"Yes","Yes",2011
"29689","Bipolar disorder NEC",9,55,59,"Yes","Yes",2011
"29690","Episodic mood disord NOS",9,55,59,"Yes","Yes",2011
"29699","Episodic mood disord NEC",9,55,59,"Yes","Yes",2011
"2970","Paranoid state, simple",9,55,,"Yes","No",2011
"2971","Delusional disorder",9,55,,"Yes","No",2011
"2972","Paraphrenia",9,55,,"Yes","No",2011
"2973","Shared psychotic disord",9,55,,"Yes","No",2011
"2978","Paranoid states NEC",9,55,,"Yes","No",2011
"2979","Paranoid state NOS",9,55,,"Yes","No",2011
"29900","Autistic disord-current",9,,65,"No","Yes",2011
"29901","Autistic disord-residual",9,,65,"No","Yes",2011
"29910","Childhd disintegr-active",9,,65,"No","Yes",2011
"29911","Childhd disintegr-resid",9,,65,"No","Yes",2011
"29980","Pervasv dev dis-cur NEC",9,,65,"No","Yes",2011
"29981","Pervasv dev dis-res NEC",9,,65,"No","Yes",2011
"29990","Pervasv dev dis-cur NOS",9,,65,"No","Yes",2011
"29991","Pervasv dev dis-res NOS",9,,65,"No","Yes",2011
"30001","Panic dis w/o agorphobia",9,,63,"No","Yes",2011
"30002","Generalized anxiety dis",9,,63,"No","Yes",2011
"30010","Hysteria NOS",9,,63,"No","Yes",2011
"30011","Conversion disorder",9,,63,"No","Yes",2011
"30012","Dissociative amnesia",9,,61,"No","Yes",2011
"30013","Dissociative fugue",9,,61,"No","Yes",2011
"30014","Dissociatve identity dis",9,,61,"No","Yes",2011
"30015","Dissociative react NOS",9,,61,"No","Yes",2011
"30016","Factitious dis w symptom",9,,63,"No","Yes",2011
"30019","Factitious ill NEC/NOS",9,,63,"No","Yes",2011
"30020","Phobia NOS",9,,63,"No","Yes",2011
"30021","Agoraphobia w panic dis",9,,63,"No","Yes",2011
"30022","Agoraphobia w/o panic",9,,63,"No","Yes",2011
"30023","Social phobia",9,,63,"No","Yes",2011
"30029","Isolated/spec phobia NEC",9,,63,"No","Yes",2011
"3003","Obsessive-compulsive dis",9,,61,"No","Yes",2011
"3004","Dysthymic disorder",9,,62,"No","Yes",2011
"3006","Depersonalization disord",9,,61,"No","Yes",2011
"3007","Hypochondriasis",9,,63,"No","Yes",2011
"30081","Somatization disorder",9,,63,"No","Yes",2011
"30082","Undiff somatoform disrdr",9,,63,"No","Yes",2011
"30089","Somatoform disorders NEC",9,,63,"No","Yes",2011
"30110","Affectiv personality NOS",9,,62,"No","Yes",2011
"30111","Chronic hypomanic person",9,,62,"No","Yes",2011
"30112","Chr depressive person",9,,62,"No","Yes",2011
"30113","Cyclothymic disorder",9,,62,"No","Yes",2011
"3013","Explosive personality",9,,61,"No","Yes",2011
"3014","Obsessive-compulsive dis",9,,61,"No","Yes",2011
"30183","Borderline personality",9,,61,"No","Yes",2011
"30300","Ac alcohol intox-unspec",9,52,,"Yes","No",2011
"30301","Ac alcohol intox-contin",9,52,,"Yes","No",2011
"30302","Ac alcohol intox-episod",9,52,,"Yes","No",2011
"30303","Ac alcohol intox-remiss",9,52,,"Yes","No",2011
"30390","Alcoh dep NEC/NOS-unspec",9,52,,"Yes","No",2011
"30391","Alcoh dep NEC/NOS-contin",9,52,,"Yes","No",2011
"30392","Alcoh dep NEC/NOS-episod",9,52,,"Yes","No",2011
"30393","Alcoh dep NEC/NOS-remiss",9,52,,"Yes","No",2011
"30400","Opioid dependence-unspec",9,52,,"Yes","No",2011
